short_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name,nationality_name,year,leaguePos
B. Leno,GK,84,26000000,90000,27,Arsenal,English Premier League,Germany,2020,5
David Luiz,CB,83,16500000,100000,32,Arsenal,English Premier League,Brazil,2020,5
N. Pépé,"RM, RW, ST",83,34500000,95000,24,Arsenal,English Premier League,Côte d'Ivoire,2020,5
L. Torreira,"CDM, CM",82,27000000,80000,23,Arsenal,English Premier League,Uruguay,2020,5
H. Mkhitaryan,"RM, CAM, RW",81,17000000,95000,30,Arsenal,English Premier League,Armenia,2020,5
G. Xhaka,"CM, CDM",81,21500000,95000,26,Arsenal,English Premier League,Switzerland,2020,5
Dani Ceballos,"CM, LM, CDM",81,24000000,135000,22,Arsenal,English Premier League,Spain,2020,5
Héctor Bellerín,"RB, RWB",80,17500000,69000,24,Arsenal,English Premier League,Spain,2020,5
Nacho Monreal,"LB, CB",79,5500000,76000,33,Arsenal,English Premier League,Spain,2020,5
S. Mustafi,CB,79,13000000,76000,27,Arsenal,English Premier League,Germany,2020,5
S. Kolašinac,"LB, LWB",79,13500000,76000,26,Arsenal,English Premier League,Bosnia and Herzegovina,2020,5
M. Elneny,"CDM, CM",77,9500000,65000,26,Arsenal,English Premier League,Egypt,2020,5
K. Tierney,LB,76,11000000,52000,22,Arsenal,English Premier League,Scotland,2020,5
R. Holding,CB,76,10000000,52000,23,Arsenal,English Premier League,England,2020,5
E. Martínez,GK,75,6500000,47000,26,Arsenal,English Premier League,Argentina,2020,5
C. Chambers,"CDM, CM, CB",75,8000000,49000,24,Arsenal,English Premier League,England,2020,5
A. Maitland-Niles,"RWB, RB, RM",75,9000000,41000,21,Arsenal,English Premier League,England,2020,5
M. Guendouzi,"CM, CDM",75,11500000,47000,20,Arsenal,English Premier League,France,2020,5
R. Nelson,"RW, LW, LM",72,6000000,31000,19,Arsenal,English Premier League,England,2020,5
K. Mavropanos,CB,70,2900000,24000,21,Arsenal,English Premier League,Greece,2020,5
Gabriel Martinelli,"LW, LM, ST",68,1800000,12000,18,Arsenal,English Premier League,Brazil,2020,5
J. Willock,CM,67,1600000,13000,19,Arsenal,English Premier League,England,2020,5
M. Macey,GK,66,675000,12000,24,Arsenal,English Premier League,England,2020,5
K. Nwakali,"CAM, CM",65,950000,12000,21,Arsenal,English Premier League,Nigeria,2020,5
E. Smith Rowe,"LW, RW, CAM",65,1100000,7000,18,Arsenal,English Premier League,England,2020,5
B. Saka,"LM, RM",65,1200000,2000,17,Arsenal,English Premier League,England,2020,5
Z. Medley,"CB, LB",63,700000,4000,18,Arsenal,English Premier League,England,2020,5
R. Burton,"CAM, CM",57,220000,6000,19,Arsenal,English Premier League,Wales,2020,5
T. John-Jules,ST,56,190000,5000,18,Arsenal,English Premier League,England,2020,5
P. Aubameyang,"ST, LW",87,67500000,170000,31,Arsenal,English Premier League,Gabon,2021,8
B. Leno,GK,85,46000000,105000,28,Arsenal,English Premier League,Germany,2021,8
A. Lacazette,ST,83,36500000,125000,29,Arsenal,English Premier League,France,2021,8
M. Özil,"CAM, RW",82,25000000,100000,31,Arsenal,English Premier League,Germany,2021,8
Willian,"RW, LW, RM",82,25000000,110000,31,Arsenal,English Premier League,Brazil,2021,8
N. Pépé,"RM, RW",82,40500000,100000,25,Arsenal,English Premier League,Côte d'Ivoire,2021,8
L. Torreira,"CDM, CM",81,33500000,74000,24,Arsenal,English Premier League,Uruguay,2021,8
David Luiz,CB,80,10000000,81000,33,Arsenal,English Premier League,Brazil,2021,8
G. Xhaka,"CDM, CM",80,21500000,81000,27,Arsenal,English Premier League,Switzerland,2021,8
Héctor Bellerín,"RB, RWB",80,29000000,77000,25,Arsenal,English Premier League,Spain,2021,8
Dani Ceballos,"CM, CAM",80,31500000,125000,23,Arsenal,English Premier League,Spain,2021,8
Sokratis,CB,79,11500000,76000,32,Arsenal,English Premier League,Greece,2021,8
S. Mustafi,CB,78,14000000,72000,28,Arsenal,English Premier League,Germany,2021,8
S. Kolašinac,"LB, LWB",78,15000000,69000,27,Arsenal,English Premier League,Bosnia and Herzegovina,2021,8
K. Tierney,"LB, LWB",78,30000000,59000,23,Arsenal,English Premier League,Scotland,2021,8
Gabriel,CB,78,26500000,59000,22,Arsenal,English Premier League,Brazil,2021,8
M. Guendouzi,"CDM, CM",77,22500000,46000,21,Arsenal,English Premier League,France,2021,8
Cédric,"RB, RWB",76,7000000,63000,28,Arsenal,English Premier League,Portugal,2021,8
M. Elneny,"CDM, CM",76,7500000,60000,27,Arsenal,English Premier League,Egypt,2021,8
A. Maitland-Niles,"RWB, RB, RM",76,16000000,52000,22,Arsenal,English Premier League,England,2021,8
C. Chambers,"CB, CDM",75,7500000,55000,25,Arsenal,English Premier League,England,2021,8
Pablo Marí,CB,75,6500000,58000,26,Arsenal,English Premier League,Spain,2021,8
R. Holding,CB,75,10500000,49000,24,Arsenal,English Premier League,England,2021,8
B. Saka,"LM, LWB, RW",75,13000000,22000,18,Arsenal,English Premier League,England,2021,8
W. Saliba,CB,74,9500000,28000,19,Arsenal,English Premier League,France,2021,8
Gabriel Martinelli,"LW, LM, ST",74,9000000,38000,19,Arsenal,English Premier League,Brazil,2021,8
R. Nelson,"RW, LW, LM",72,5000000,39000,20,Arsenal,English Premier League,England,2021,8
E. Nketiah,ST,71,4600000,35000,21,Arsenal,English Premier League,England,2021,8
J. Willock,"CAM, CM",71,4500000,31000,20,Arsenal,English Premier League,England,2021,8
E. Smith Rowe,"CAM, RM, RW",69,3600000,18000,19,Arsenal,English Premier League,England,2021,8
M. Macey,GK,65,825000,12000,25,Arsenal,English Premier League,England,2021,8
D. Iliev,GK,61,400000,8000,25,Arsenal,English Premier League,North Macedonia,2021,8
F. Balogun,ST,60,675000,5000,18,Arsenal,English Premier League,England,2021,8
P. Aubameyang,"ST, LW, LM",85,43500000,145000,32,Arsenal,English Premier League,Gabon,2022,8
T. Partey,"CM, CDM",83,36500000,115000,28,Arsenal,English Premier League,Ghana,2022,8
A. Lacazette,ST,82,30000000,110000,30,Arsenal,English Premier League,France,2022,8
N. Pépé,"RM, RW",81,30500000,95000,26,Arsenal,English Premier League,Côte d'Ivoire,2022,8
M. Ødegaard,"CAM, CM",82,49000000,89000,22,Arsenal,English Premier League,Norway,2022,8
B. Leno,GK,83,28000000,87000,29,Arsenal,English Premier League,Germany,2022,8
G. Xhaka,"CDM, CM",79,15500000,80000,28,Arsenal,English Premier League,Switzerland,2022,8
K. Tierney,"LB, CB, LWB",80,31000000,69000,24,Arsenal,English Premier League,Scotland,2022,8
M. Elneny,"CDM, CM",77,9500000,68000,28,Arsenal,English Premier League,Egypt,2022,8
Gabriel,CB,79,24000000,65000,23,Arsenal,English Premier League,Brazil,2022,8
Cédric,"RB, RWB, LB",76,6500000,63000,29,Arsenal,English Premier League,Portugal,2022,8
R. Holding,CB,77,13000000,62000,25,Arsenal,English Premier League,England,2022,8
Pablo Marí,CB,76,8000000,60000,27,Arsenal,English Premier League,Spain,2022,8
S. Kolašinac,"LB, LWB, CB",75,5000000,60000,28,Arsenal,English Premier League,Bosnia and Herzegovina,2022,8
C. Chambers,"RB, CB",75,6500000,58000,26,Arsenal,English Premier League,England,2022,8
E. Nketiah,ST,74,8500000,56000,22,Arsenal,English Premier League,England,2022,8
B. White,"CB, CM",76,15500000,52000,23,Arsenal,English Premier League,England,2022,8
B. Saka,"RM, LM, LB",80,45500000,50000,19,Arsenal,English Premier League,England,2022,8
E. Smith Rowe,CAM,76,16500000,49000,20,Arsenal,English Premier League,England,2022,8
Gabriel Martinelli,"LM, LW",76,18000000,49000,20,Arsenal,English Premier League,Brazil,2022,8
A. Maitland-Niles,"CDM, RB, RWB",75,8000000,49000,23,Arsenal,English Premier League,England,2022,8
T. Tomiyasu,"CB, RB",75,12000000,49000,22,Arsenal,English Premier League,Japan,2022,8
A. Sambi Lokonga,"CM, CDM",73,7000000,40000,21,Arsenal,English Premier League,Belgium,2022,8
A. Ramsdale,GK,74,5000000,36000,23,Arsenal,English Premier League,England,2022,8
Nuno Tavares,LB,70,3400000,24000,21,Arsenal,English Premier League,Portugal,2022,8
F. Balogun,ST,64,1500000,10000,19,Arsenal,English Premier League,England,2022,8
J. Olayinka,"CM, CAM, LM",60,600000,8000,20,Arsenal,English Premier League,England,2022,8
T. Akinola,"CDM, CM",61,825000,7000,20,Arsenal,English Premier League,England,2022,8
Joel López,LB,60,600000,5000,19,Arsenal,English Premier League,Spain,2022,8
C. Cîrjan,"CM, RM",62,1000000,4000,18,Arsenal,English Premier League,Romania,2022,8
A. Okonkwo,GK,61,750000,3000,19,Arsenal,English Premier League,England,2022,8
J. Ideho,"LM, RM, CF",62,900000,2000,17,Arsenal,English Premier League,Netherlands,2022,8
Z. Monlouis,CB,61,625000,500,17,Arsenal,English Premier League,England,2022,8
J. Grealish,"LW, CAM, CM",80,29000000,65000,24,Aston Villa,English Premier League,England,2021,17
T. Heaton,GK,78,2400000,43000,34,Aston Villa,English Premier League,England,2021,17
E. Martínez,GK,78,14000000,43000,27,Aston Villa,English Premier League,Argentina,2021,17
B. Traoré,"RW, RM",76,10000000,49000,24,Aston Villa,English Premier League,Burkina Faso,2021,17
J. McGinn,CM,76,11000000,49000,25,Aston Villa,English Premier League,Scotland,2021,17
M. Samatta,ST,76,9000000,55000,27,Aston Villa,English Premier League,Tanzania,2021,17
M. Targett,"LB, LWB",76,10500000,40000,24,Aston Villa,English Premier League,England,2021,17
O. Watkins,"ST, RW",76,11500000,49000,24,Aston Villa,English Premier League,England,2021,17
F. Guilbert,"RB, RWB",76,10000000,44000,25,Aston Villa,English Premier League,France,2021,17
Wesley,ST,76,11500000,49000,23,Aston Villa,English Premier League,Brazil,2021,17
C. Hourihane,"CM, CDM",75,5500000,51000,29,Aston Villa,English Premier League,Republic of Ireland,2021,17
T. Mings,CB,75,6500000,44000,27,Aston Villa,English Premier League,England,2021,17
A. El Ghazi,"RW, LW",75,7500000,51000,25,Aston Villa,English Premier League,Netherlands,2021,17
L. Kalinić,GK,75,3700000,36000,30,Aston Villa,English Premier League,Croatia,2021,17
M. Nakamba,"CDM, CM",75,6500000,44000,26,Aston Villa,English Premier League,Zimbabwe,2021,17
Trezeguet,"LW, RW, RM",75,7500000,51000,25,Aston Villa,English Premier League,Egypt,2021,17
M. Cash,"RB, RM",75,11000000,38000,22,Aston Villa,English Premier League,England,2021,17
Douglas Luiz,"CDM, CM",75,12000000,38000,22,Aston Villa,English Premier League,Brazil,2021,17
B. Engels,CB,74,5500000,39000,25,Aston Villa,English Premier League,Belgium,2021,17
Ø. Nyland,GK,72,1600000,29000,29,Aston Villa,English Premier League,Norway,2021,17
Jota,"RW, RM",72,2300000,41000,29,Aston Villa,English Premier League,Spain,2021,17
K. Hause,"CB, LB",72,3400000,29000,24,Aston Villa,English Premier League,England,2021,17
A. Elmohamady,"RB, RM, RWB",71,1300000,29000,32,Aston Villa,English Premier League,Egypt,2021,17
E. Konsa,"CB, RB",71,4300000,25000,22,Aston Villa,English Premier League,England,2021,17
N. Taylor,LB,70,1200000,26000,31,Aston Villa,English Premier League,Wales,2021,17
J. Steer,GK,70,1500000,21000,27,Aston Villa,English Premier League,England,2021,17
H. Lansbury,"CM, CDM",69,1400000,25000,29,Aston Villa,English Premier League,England,2021,17
K. Davis,ST,68,2700000,19000,22,Aston Villa,English Premier League,England,2021,17
D. Revan,"CB, LB",55,300000,4000,19,Aston Villa,English Premier League,England,2021,17
J. Ramsey,"CAM, LW",55,350000,4000,19,Aston Villa,English Premier League,England,2021,17
L. Brunt,"CM, CDM",52,210000,4000,19,Aston Villa,English Premier League,England,2021,17
M. Tait,ST,52,210000,5000,19,Aston Villa,English Premier League,England,2021,17
C. Rowe,CM,51,140000,6000,20,Aston Villa,English Premier League,England,2021,17
D. Ings,ST,81,26500000,90000,28,Aston Villa,English Premier League,England,2022,11
E. Martínez,GK,84,33500000,81000,28,Aston Villa,English Premier League,Argentina,2022,11
L. Bailey,"RM, RW, LW",82,41500000,75000,23,Aston Villa,English Premier League,Jamaica,2022,11
O. Watkins,ST,78,21000000,67000,25,Aston Villa,English Premier League,England,2022,11
E. Buendía,RM,79,26500000,61000,24,Aston Villa,English Premier League,Argentina,2022,11
T. Mings,CB,78,14000000,61000,28,Aston Villa,English Premier League,England,2022,11
A. Tuanzebe,CB,74,8000000,60000,23,Aston Villa,English Premier League,England,2022,11
J. McGinn,"CDM, CM",78,16500000,58000,26,Aston Villa,English Premier League,Scotland,2022,11
B. Traoré,"RM, RW",77,12500000,57000,25,Aston Villa,English Premier League,Burkina Faso,2022,11
M. Sanson,CM,76,9000000,56000,26,Aston Villa,English Premier League,France,2022,11
A. El Ghazi,"LM, RW, LW",76,9000000,56000,26,Aston Villa,English Premier League,Netherlands,2022,11
Trezeguet,"RM, RW, LM",75,6500000,53000,26,Aston Villa,English Premier League,Egypt,2022,11
M. Targett,LB,77,14500000,52000,25,Aston Villa,English Premier League,England,2022,11
M. Cash,RB,78,20000000,50000,23,Aston Villa,English Premier League,England,2022,11
E. Konsa,"CB, RB",78,20000000,50000,23,Aston Villa,English Premier League,England,2022,11
M. Nakamba,"CDM, CM",75,6000000,49000,27,Aston Villa,English Premier League,Zimbabwe,2022,11
Douglas Luiz,"CDM, CM",77,14500000,47000,23,Aston Villa,English Premier League,Brazil,2022,11
K. Hause,CB,75,6000000,46000,25,Aston Villa,English Premier League,England,2022,11
A. Young,"LWB, LB",78,4300000,42000,35,Aston Villa,English Premier League,England,2022,11
J. Steer,GK,72,1900000,31000,28,Aston Villa,English Premier League,England,2022,11
K. Davis,ST,69,2200000,25000,23,Aston Villa,English Premier League,England,2022,11
J. Ramsey,"CAM, CM",68,2900000,16000,20,Aston Villa,English Premier League,England,2022,11
J. Philogene-Bidace,"RW, RM, LM",60,700000,6000,19,Aston Villa,English Premier League,England,2022,11
C. Archer,ST,58,525000,6000,19,Aston Villa,English Premier League,England,2022,11
C. Chukwuemeka,"ST, RW, LW",57,425000,6000,19,Aston Villa,English Premier League,England,2022,11
H. Lindley,"CDM, CM, RB",57,350000,2000,18,Aston Villa,English Premier League,England,2022,11
V. Sinisalo,GK,55,250000,2000,19,Aston Villa,English Premier League,Finland,2022,11
C. Chukwuemeka,CAM,63,1500000,1000,17,Aston Villa,English Premier League,England,2022,11
L. Bogarde,"CB, LB",58,600000,500,17,Aston Villa,English Premier League,Netherlands,2022,11
S. Swinkels,CB,56,375000,500,17,Aston Villa,English Premier League,Netherlands,2022,11
B. Chrisene,"LB, LWB",53,275000,500,17,Aston Villa,English Premier League,England,2022,11
M. Ryan,GK,80,12500000,44000,27,Brighton & Hove Albion,English Premier League,Australia,2020,17
L. Trossard,LW,79,16500000,53000,24,Brighton & Hove Albion,English Premier League,Belgium,2020,17
P. Groß,"CM, CAM, RW",78,10500000,53000,28,Brighton & Hove Albion,English Premier League,Germany,2020,17
S. Duffy,CB,78,11000000,46000,27,Brighton & Hove Albion,English Premier League,Republic of Ireland,2020,17
L. Dunk,CB,78,11000000,46000,27,Brighton & Hove Albion,English Premier League,England,2020,17
G. Murray,ST,77,4100000,39000,35,Brighton & Hove Albion,English Premier League,England,2020,17
D. Pröpper,"CM, CDM",77,10000000,47000,27,Brighton & Hove Albion,English Premier League,Netherlands,2020,17
D. Stephens,"CM, CDM",76,7000000,44000,30,Brighton & Hove Albion,English Premier League,England,2020,17
Montoya,"RB, RWB",76,6500000,42000,28,Brighton & Hove Albion,English Premier League,Spain,2020,17
A. Mooy,"CM, CDM",76,7500000,36000,28,Brighton & Hove Albion,English Premier League,Australia,2020,17
J. Locadia,"ST, LW",76,10000000,46000,25,Brighton & Hove Albion,English Premier League,Netherlands,2020,17
J. Izquierdo,LW,76,8500000,48000,26,Brighton & Hove Albion,English Premier League,Colombia,2020,17
F. Andone,ST,76,9500000,48000,26,Brighton & Hove Albion,English Premier League,Romania,2020,17
S. March,"LM, LWB",75,8500000,37000,24,Brighton & Hove Albion,English Premier League,England,2020,17
N. Maupay,ST,75,9500000,40000,22,Brighton & Hove Albion,English Premier League,France,2020,17
A. Jahanbakhsh,"RW, LW",75,8000000,44000,25,Brighton & Hove Albion,English Premier League,Iran,2020,17
Bernardo,"LB, LWB, RB",75,8000000,33000,24,Brighton & Hove Albion,English Premier League,Brazil,2020,17
Y. Bissouma,"CM, CDM",75,9000000,37000,22,Brighton & Hove Albion,English Premier League,Mali,2020,17
G. Bong,"LB, LWB",74,4100000,36000,31,Brighton & Hove Albion,English Premier League,Cameroon,2020,17
L. Balogun,"CB, RB",74,4200000,36000,31,Brighton & Hove Albion,English Premier League,Nigeria,2020,17
A. Webster,CB,74,6500000,31000,24,Brighton & Hove Albion,English Premier League,England,2020,17
E. Schelotto,"RB, RM, RWB",73,3200000,33000,30,Brighton & Hove Albion,English Premier League,Italy,2020,17
T. Băluță,"CDM, CB",72,5000000,21000,20,Brighton & Hove Albion,English Premier League,Romania,2020,17
D. Burn,CB,71,2400000,26000,27,Brighton & Hove Albion,English Premier League,England,2020,17
T. Hemed,ST,69,850000,22000,32,Brighton & Hove Albion,English Premier League,Israel,2020,17
D. Button,GK,68,600000,13000,30,Brighton & Hove Albion,English Premier League,England,2020,17
J. Steele,GK,68,750000,14000,28,Brighton & Hove Albion,English Premier League,England,2020,17
A. Dreyer,"RM, ST",65,950000,8000,21,Brighton & Hove Albion,English Premier League,Denmark,2020,17
S. Ahannach,"LW, LM",65,750000,11000,23,Brighton & Hove Albion,English Premier League,Netherlands,2020,17
A. Connolly,ST,64,975000,7000,19,Brighton & Hove Albion,English Premier League,Republic of Ireland,2020,17
J. Tilley,"CAM, LM, CM",60,450000,5000,21,Brighton & Hove Albion,English Premier League,England,2020,17
M. Sanders,"CM, RB",58,275000,5000,20,Brighton & Hove Albion,English Premier League,England,2020,17
S. Alzate,"CM, CAM",56,160000,5000,20,Brighton & Hove Albion,English Premier League,England,2020,17
M. Ryan,GK,80,18000000,53000,28,Brighton & Hove Albion,English Premier League,Australia,2021,15
L. Dunk,CB,78,14000000,56000,28,Brighton & Hove Albion,English Premier League,England,2021,15
L. Trossard,"LM, LW",78,18500000,56000,25,Brighton & Hove Albion,English Premier League,Belgium,2021,15
A. Lallana,CM,77,8500000,55000,32,Brighton & Hove Albion,English Premier League,England,2021,15
P. Groß,"CM, CAM, RM",77,10500000,57000,29,Brighton & Hove Albion,English Premier League,Germany,2021,15
J. Veltman,"CB, RB",77,9000000,52000,28,Brighton & Hove Albion,English Premier League,Netherlands,2021,15
N. Maupay,ST,77,15500000,52000,23,Brighton & Hove Albion,English Premier League,France,2021,15
D. Pröpper,"CM, CDM",76,7500000,53000,28,Brighton & Hove Albion,English Premier League,Netherlands,2021,15
D. Stephens,"CM, CDM",75,4600000,49000,31,Brighton & Hove Albion,English Premier League,England,2021,15
D. Burn,"CB, LB",75,5500000,46000,28,Brighton & Hove Albion,English Premier League,England,2021,15
S. March,"LM, RM",75,6500000,46000,25,Brighton & Hove Albion,English Premier League,England,2021,15
A. Webster,CB,75,7000000,42000,25,Brighton & Hove Albion,English Premier League,England,2021,15
B. White,CB,75,12000000,38000,22,Brighton & Hove Albion,English Premier League,England,2021,15
Y. Bissouma,"CM, CDM",75,8500000,42000,23,Brighton & Hove Albion,English Premier League,Mali,2021,15
A. Mac Allister,"CAM, CM",75,12500000,36000,21,Brighton & Hove Albion,English Premier League,Argentina,2021,15
A. Jahanbakhsh,"RW, LW, RM",74,4600000,49000,26,Brighton & Hove Albion,English Premier League,Iran,2021,15
J. Izquierdo,"LM, LW",74,4500000,45000,27,Brighton & Hove Albion,English Premier League,Colombia,2021,15
F. Andone,ST,74,4900000,49000,27,Brighton & Hove Albion,English Premier League,Romania,2021,15
Bernardo,"LB, LWB",74,5000000,39000,25,Brighton & Hove Albion,English Premier League,Brazil,2021,15
C. Walton,GK,72,4500000,22000,24,Brighton & Hove Albion,English Premier League,England,2021,15
T. Băluță,"CDM, CB",71,4000000,21000,21,Brighton & Hove Albion,English Premier League,Romania,2021,15
A. Connolly,ST,70,3200000,23000,20,Brighton & Hove Albion,English Premier League,Republic of Ireland,2021,15
S. Alzate,"CM, RB",68,2700000,15000,21,Brighton & Hove Albion,English Premier League,Colombia,2021,15
J. Steele,GK,67,700000,13000,29,Brighton & Hove Albion,English Premier League,England,2021,15
J. Molumby,"CM, CDM",67,2400000,13000,20,Brighton & Hove Albion,English Premier League,Republic of Ireland,2021,15
V. Gyökeres,"LM, ST, RM",67,2300000,15000,22,Brighton & Hove Albion,English Premier League,Sweden,2021,15
T. Lamptey,"RB, RM",66,2100000,7000,19,Brighton & Hove Albion,English Premier League,England,2021,15
Robert Sanchez,GK,64,1100000,7000,22,Brighton & Hove Albion,English Premier League,Spain,2021,15
R. Yapi,RB,60,550000,4000,19,Brighton & Hove Albion,English Premier League,France,2021,15
M. Sanders,"CM, RB",59,550000,6000,21,Brighton & Hove Albion,English Premier League,England,2021,15
J. Weir,"CM, CAM",56,400000,3000,18,Brighton & Hove Albion,English Premier League,England,2021,15
A. Cochrane,LB,54,250000,5000,20,Brighton & Hove Albion,English Premier League,England,2021,15
J. Furlong,LB,54,250000,2000,18,Brighton & Hove Albion,English Premier League,Republic of Ireland,2021,15
Cucurella,"LM, LB",81,41500000,63000,22,Brighton & Hove Albion,English Premier League,Spain,2022,16
L. Dunk,CB,78,13000000,56000,29,Brighton & Hove Albion,English Premier League,England,2022,16
L. Trossard,"LM, LW, ST",77,12500000,55000,26,Brighton & Hove Albion,English Premier League,Belgium,2022,16
J. Veltman,"CB, RB, RWB",77,9000000,52000,29,Brighton & Hove Albion,English Premier League,Netherlands,2022,16
N. Maupay,ST,77,16000000,52000,24,Brighton & Hove Albion,English Premier League,France,2022,16
P. Groß,"CM, RM, CAM",76,7000000,51000,30,Brighton & Hove Albion,English Premier League,Germany,2022,16
Y. Bissouma,"CDM, CM",79,24500000,50000,24,Brighton & Hove Albion,English Premier League,Mali,2022,16
A. Lallana,"CM, CAM, RW",75,3500000,49000,33,Brighton & Hove Albion,English Premier League,England,2022,16
D. Burn,"CB, LB",75,4700000,46000,29,Brighton & Hove Albion,English Premier League,England,2022,16
D. Welbeck,"ST, LW, LM",73,3000000,45000,30,Brighton & Hove Albion,English Premier League,England,2022,16
S. March,"LWB, RW, RM",75,6000000,44000,26,Brighton & Hove Albion,English Premier League,England,2022,16
A. Webster,CB,75,7500000,44000,26,Brighton & Hove Albion,English Premier League,England,2022,16
A. Mac Allister,"CAM, CM",75,11500000,42000,22,Brighton & Hove Albion,English Premier League,Argentina,2022,16
E. Mwepu,"CM, CDM, CAM",75,9000000,42000,23,Brighton & Hove Albion,English Premier League,Zambia,2022,16
S. Duffy,CB,72,2000000,35000,29,Brighton & Hove Albion,English Premier League,Republic of Ireland,2022,16
J. Locadia,"ST, LW, LM",71,2200000,35000,27,Brighton & Hove Albion,English Premier League,Netherlands,2022,16
Robert Sanchéz,GK,76,9500000,31000,23,Brighton & Hove Albion,English Premier League,Spain,2022,16
T. Lamptey,"RWB, RB",74,9000000,29000,20,Brighton & Hove Albion,English Premier League,England,2022,16
T. Băluță,"CDM, CM",71,4000000,25000,22,Brighton & Hove Albion,English Premier League,Romania,2022,16
S. Alzate,"CM, CAM, LM",70,3600000,24000,22,Brighton & Hove Albion,English Premier League,Colombia,2022,16
A. Connolly,ST,70,3300000,23000,21,Brighton & Hove Albion,English Premier League,Republic of Ireland,2022,16
J. Moder,"CDM, LM",70,3700000,22000,22,Brighton & Hove Albion,English Premier League,Poland,2022,16
K. Scherpen,GK,69,3000000,12000,21,Brighton & Hove Albion,English Premier League,Netherlands,2022,16
J. Steele,GK,66,575000,11000,30,Brighton & Hove Albion,English Premier League,England,2022,16
T. Richards,"CAM, CM",66,2100000,11000,20,Brighton & Hove Albion,English Premier League,England,2022,16
U. Eneme-Ella,"CAM, CM",59,500000,6000,20,Brighton & Hove Albion,English Premier League,France,2022,16
J. Sarmiento,"RW, LW",59,525000,5000,19,Brighton & Hove Albion,English Premier League,England,2022,16
H. Roberts,CB,58,500000,4000,19,Brighton & Hove Albion,English Premier League,England,2022,16
J. Furlong,LB,54,275000,4000,19,Brighton & Hove Albion,English Premier League,Republic of Ireland,2022,16
